album_name,song,track_number
Taylor Swift – Folklore,Hoax,16
Taylor Swift – Evermore,Willow,1
Taylor Swift – Evermore,Champagne Problems,2
Taylor Swift – Evermore,Gold Rush,3
Taylor Swift – Evermore,‘Tis The Damn Season,4
Taylor Swift – Evermore,Tolerate It,5
Taylor Swift – Evermore,"No Body, No Crime",6
Taylor Swift – Evermore,Happiness,7
Taylor Swift – Evermore,Dorothea,8
Taylor Swift – Evermore,Coney Island,9
Taylor Swift – Evermore,Ivy,10
Taylor Swift – Evermore,Cowboy Like Me,11
Taylor Swift – Evermore,Long Story Short,12
Taylor Swift – Evermore,Marjorie,13
Taylor Swift – Evermore,Closure,14
Taylor Swift – Evermore,Evermore,15
Taylor Swift – Folklore: The Long Pond Studio Sessions (From The Disney+ Special),The 1,1
Taylor Swift – Folklore: The Long Pond Studio Sessions (From The Disney+ Special),Cardigan,2
Taylor Swift – Folklore: The Long Pond Studio Sessions (From The Disney+ Special),The Last Great American Dynasty,3
Taylor Swift – Folklore: The Long Pond Studio Sessions (From The Disney+ Special),Exile,4
Taylor Swift – Folklore: The Long Pond Studio Sessions (From The Disney+ Special),My Tears Ricochet,5
Taylor Swift – Folklore: The Long Pond Studio Sessions (From The Disney+ Special),Mirrorball,6
Taylor Swift – Folklore: The Long Pond Studio Sessions (From The Disney+ Special),Seven,7
Taylor Swift – Folklore: The Long Pond Studio Sessions (From The Disney+ Special),August,8
Taylor Swift – Folklore: The Long Pond Studio Sessions (From The Disney+ Special),This Is Me Trying,9
Taylor Swift – Folklore: The Long Pond Studio Sessions (From The Disney+ Special),Illicit Affairs,10
Taylor Swift – Folklore: The Long Pond Studio Sessions (From The Disney+ Special),Invisible String,11
Taylor Swift – Folklore: The Long Pond Studio Sessions (From The Disney+ Special),Mad Woman,12
Taylor Swift – Folklore: The Long Pond Studio Sessions (From The Disney+ Special),Epiphany,13
Taylor Swift – Folklore: The Long Pond Studio Sessions (From The Disney+ Special),Betty,14
Taylor Swift – Folklore: The Long Pond Studio Sessions (From The Disney+ Special),Peace,15
Taylor Swift – Folklore: The Long Pond Studio Sessions (From The Disney+ Special),Hoax,16
Taylor Swift – Folklore: The Long Pond Studio Sessions (From The Disney+ Special),The Lakes,17
Taylor Swift – Folklore: The Long Pond Studio Sessions (From The Disney+ Special),The 1 (The Long Pond Studio Sessions),18
Taylor Swift – Folklore: The Long Pond Studio Sessions (From The Disney+ Special),Cardigan (The Long Pond Studio Sessions),19
Taylor Swift – Folklore: The Long Pond Studio Sessions (From The Disney+ Special),The Last Great American Dynasty (The Long Pond Studio Sessions),20
Taylor Swift – Folklore: The Long Pond Studio Sessions (From The Disney+ Special),Exile (The Long Pond Studio Sessions),21
Taylor Swift – Folklore: The Long Pond Studio Sessions (From The Disney+ Special),My Tears Ricochet (The Long Pond Studio Sessions),22
Taylor Swift – Folklore: The Long Pond Studio Sessions (From The Disney+ Special),Mirrorball (The Long Pond Studio Sessions),23
Taylor Swift – Folklore: The Long Pond Studio Sessions (From The Disney+ Special),Seven (The Long Pond Studio Sessions),24
Taylor Swift – Folklore: The Long Pond Studio Sessions (From The Disney+ Special),August (The Long Pond Studio Sessions),25
Taylor Swift – Folklore: The Long Pond Studio Sessions (From The Disney+ Special),This Is Me Trying (The Long Pond Studio Sessions),26
Taylor Swift – Folklore: The Long Pond Studio Sessions (From The Disney+ Special),Illicit Affairs (The Long Pond Studio Sessions),27
Taylor Swift – Folklore: The Long Pond Studio Sessions (From The Disney+ Special),Invisible String (The Long Pond Studio Sessions),28
Taylor Swift – Folklore: The Long Pond Studio Sessions (From The Disney+ Special),Mad Woman (The Long Pond Studio Sessions),29
Taylor Swift – Folklore: The Long Pond Studio Sessions (From The Disney+ Special),Epiphany (The Long Pond Studio Sessions),30
Taylor Swift – Folklore: The Long Pond Studio Sessions (From The Disney+ Special),Betty (The Long Pond Studio Sessions),31
Taylor Swift – Folklore: The Long Pond Studio Sessions (From The Disney+ Special),Peace (The Long Pond Studio Sessions),32
Taylor Swift – Folklore: The Long Pond Studio Sessions (From The Disney+ Special),Hoax (The Long Pond Studio Sessions),33
Taylor Swift – Folklore: The Long Pond Studio Sessions (From The Disney+ Special),The Lakes (The Long Pond Studio Sessions),34
Taylor Swift – Fearless (Taylor's Version),Fearless (Taylor’s Version),1
Taylor Swift – Fearless (Taylor's Version),Fifteen (Taylor’s Version),2
Taylor Swift – Fearless (Taylor's Version),Love Story (Taylor’s Version),3
Taylor Swift – Fearless (Taylor's Version),Hey Stephen (Taylor’s Version),4
Taylor Swift – Fearless (Taylor's Version),White Horse (Taylor’s Version),5
Taylor Swift – Fearless (Taylor's Version),You Belong With Me (Taylor’s Version),6
Taylor Swift – Fearless (Taylor's Version),Breathe (Taylor’s Version),7
Taylor Swift – Fearless (Taylor's Version),Tell Me Why (Taylor’s Version),8
Taylor Swift – Fearless (Taylor's Version),You’re Not Sorry (Taylor’s Version),9
Taylor Swift – Fearless (Taylor's Version),The Way I Loved You (Taylor’s Version),10
Taylor Swift – Fearless (Taylor's Version),Forever & Always (Taylor’s Version),11
Taylor Swift – Fearless (Taylor's Version),The Best Day (Taylor’s Version),12
Taylor Swift – Fearless (Taylor's Version),Change (Taylor’s Version),13
Taylor Swift – Fearless (Taylor's Version),Jump Then Fall (Taylor's Version),14
Taylor Swift – Fearless (Taylor's Version),Untouchable (Taylor's Version),15
Taylor Swift – Fearless (Taylor's Version),Forever & Always (Piano Version) (Taylor's Version),16
Taylor Swift – Fearless (Taylor's Version),Come In With The Rain (Taylor's Version),17
Taylor Swift – Fearless (Taylor's Version),Superstar (Taylor's Version),18
Taylor Swift – Fearless (Taylor's Version),The Other Side Of The Door (Taylor's Version),19
Taylor Swift – Fearless (Taylor's Version),Today Was A Fairytale (Taylor's Version),20
Taylor Swift – Fearless (Taylor's Version),You All Over Me (Taylor's Version) (From The Vault),21
Taylor Swift – Fearless (Taylor's Version),Mr. Perfectly Fine (Taylor's Version) (From The Vault),22
Taylor Swift – Fearless (Taylor's Version),We Were Happy (Taylor's Version) (From The Vault),23
Taylor Swift – Fearless (Taylor's Version),That's When (Taylor's Version) (From The Vault),24
Taylor Swift – Fearless (Taylor's Version),Don't You (Taylor's Version) (From The Vault),25
Taylor Swift – Fearless (Taylor's Version),Bye Bye Baby (Taylor's Version) (From The Vault),26
Taylor Swift – Red (Taylor's Version),State Of Grace (Taylor's Version),1
Taylor Swift – Red (Taylor's Version),Red (Taylor's Version),2
Taylor Swift – Red (Taylor's Version),Treacherous (Taylor's Version),3
Taylor Swift – Red (Taylor's Version),I Knew You Were Trouble (Taylor's Version),4
Taylor Swift – Red (Taylor's Version),All Too Well (Taylor's Version),5
Taylor Swift – Red (Taylor's Version),22 (Taylor's Version),6
Taylor Swift – Red (Taylor's Version),I Almost Do (Taylor's Version),7
Taylor Swift – Red (Taylor's Version),We Are Never Ever Getting Back Together (Taylor's Version),8
Taylor Swift – Red (Taylor's Version),Stay Stay Stay (Taylor's Version),9
Taylor Swift – Red (Taylor's Version),The Last Time (Taylor's Version),10
Taylor Swift – Red (Taylor's Version),Holy Ground (Taylor's Version),11
Taylor Swift – Red (Taylor's Version),Sad Beautiful Tragic (Taylor's Version),12
Taylor Swift – Red (Taylor's Version),The Lucky One (Taylor's Version),13
Taylor Swift – Red (Taylor's Version),Everything Has Changed (Taylor's Version),14
Taylor Swift – Red (Taylor's Version),Starlight (Taylor's Version),15
Taylor Swift – Red (Taylor's Version),Begin Again (Taylor's Version),16
Taylor Swift – Red (Taylor's Version),The Moment I Knew (Taylor's Version),17
Taylor Swift – Red (Taylor's Version),Come Back... Be Here (Taylor's Version),18
Taylor Swift – Red (Taylor's Version),Girl At Home (Taylor's Version),19
Taylor Swift – Red (Taylor's Version),State Of Grace (Acoustic Version) (Taylor's Version),20
Taylor Swift – Red (Taylor's Version),Ronan (Taylor's Version),21
Taylor Swift – Red (Taylor's Version),Better Man (Taylor's Version) (From The Vault),22
Taylor Swift – Red (Taylor's Version),Nothing New (Taylor's Version) (From The Vault),23
Taylor Swift – Red (Taylor's Version),Babe (Taylor's Version) (From The Vault),24
Taylor Swift – Red (Taylor's Version),Message In A Bottle (Taylor's Version) (From The Vault),25
Taylor Swift – Red (Taylor's Version),I Bet You Think About Me (Taylor's Version) (From The Vault),26
Taylor Swift – Red (Taylor's Version),Forever Winter (Taylor's Version) (From The Vault),27
Taylor Swift – Red (Taylor's Version),Run (Taylor's Version) (From The Vault),28
Taylor Swift – Red (Taylor's Version), The Very First Night (Taylor's Version) (From The Vault),29
Taylor Swift – Red (Taylor's Version),All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),30
Taylor Swift – Midnights,Lavender Haze,1
Taylor Swift – Midnights,Maroon,2
Taylor Swift – Midnights,Anti-Hero,3
Taylor Swift – Midnights,"You're On Your Own, Kid",4
Taylor Swift – Midnights,Snow On The Beach,5
Taylor Swift – Midnights,Midnight Rain,6
Taylor Swift – Midnights,Question...?,7
Taylor Swift – Midnights,Vigilante Shit,8
Taylor Swift – Midnights,Bejeweled,9
Taylor Swift – Midnights,Labyrinth,10
Taylor Swift – Midnights,Karma,11
Taylor Swift – Midnights,Sweet Nothing,12
Taylor Swift – Midnights,Mastermind,13
Taylor Swift – Speak Now (Taylor's Version),Mine (Taylor's Version),1
Taylor Swift – Speak Now (Taylor's Version),Sparks Fly (Taylor's Version),2
Taylor Swift – Speak Now (Taylor's Version),Back To December (Taylor's Version),3
Taylor Swift – Speak Now (Taylor's Version),Speak Now (Taylor's Version),4
Taylor Swift – Speak Now (Taylor's Version),Dear John (Taylor's Version),5
Taylor Swift – Speak Now (Taylor's Version),Mean (Taylor's Version),6
Taylor Swift – Speak Now (Taylor's Version),The Story Of Us (Taylor's Version),7
Taylor Swift – Speak Now (Taylor's Version),Never Grow Up (Taylor's Version),8
Taylor Swift – Speak Now (Taylor's Version),Enchanted (Taylor's Version),9
Taylor Swift – Speak Now (Taylor's Version),Better Than Revenge (Taylor's Version),10
Taylor Swift – Speak Now (Taylor's Version),Innocent (Taylor's Version),11
Taylor Swift – Speak Now (Taylor's Version),Haunted (Taylor's Version),12
Taylor Swift – Speak Now (Taylor's Version),Last Kiss (Taylor's Version),13
Taylor Swift – Speak Now (Taylor's Version),Long Live (Taylor's Version),14
Taylor Swift – Speak Now (Taylor's Version),Ours (Taylor's Version),15
Taylor Swift – Speak Now (Taylor's Version),Superman (Taylor's Version),16
Taylor Swift – Speak Now (Taylor's Version),Electric Touch (Taylor's Version) (From The Vault),17
Taylor Swift – Speak Now (Taylor's Version),When Emma Falls In Love (Taylor's Version) (From The Vault),18
Taylor Swift – Speak Now (Taylor's Version),I Can See You (Taylor's Version) (From The Vault),19
Taylor Swift – Speak Now (Taylor's Version),Castles Crumbling (Taylor's Version) (From The Vault),20
Taylor Swift – Speak Now (Taylor's Version),Foolish One (Taylor's Version) (From The Vault),21
Taylor Swift – Speak Now (Taylor's Version),Timeless (Taylor's Version) (From The Vault),22
Taylor Swift – Speak Now (Taylor's Version),Special Announcement (Taylor's Version),23
Taylor Swift – 1989 (Taylor's Version),Welcome To New York (Taylor's Version),1
Taylor Swift – 1989 (Taylor's Version),Blank Space (Taylor's Version),2
Taylor Swift – 1989 (Taylor's Version),Style (Taylor's Version),3
Taylor Swift – 1989 (Taylor's Version),Out Of The Woods (Taylor's Version),4
Taylor Swift – 1989 (Taylor's Version),All You Had To Do Was Stay (Taylor's Version),5
Taylor Swift – 1989 (Taylor's Version),Shake It Off (Taylor's Version),6
Taylor Swift – 1989 (Taylor's Version),I Wish You Would (Taylor's Version),7
Taylor Swift – 1989 (Taylor's Version),Bad Blood (Taylor's Version),8
Taylor Swift – 1989 (Taylor's Version),Wildest Dreams (Taylor's Version),9
Taylor Swift – 1989 (Taylor's Version),How You Get The Girl (Taylor's Version),10
Taylor Swift – 1989 (Taylor's Version),This Love (Taylor's Version),11
Taylor Swift – 1989 (Taylor's Version),I Know Places (Taylor's Version),12
Taylor Swift – 1989 (Taylor's Version),Clean (Taylor's Version),13
Taylor Swift – 1989 (Taylor's Version),Wonderland (Taylor's Version),14
Taylor Swift – 1989 (Taylor's Version),You Are In Love (Taylor's Version),15
Taylor Swift – 1989 (Taylor's Version),New Romantics (Taylor's Version),16
Taylor Swift – 1989 (Taylor's Version),"""Slut!"" (Taylor's Version) (From The Vault)",17
Taylor Swift – 1989 (Taylor's Version),Say Don't Go (Taylor's Version) (From The Vault),18
Taylor Swift – 1989 (Taylor's Version),Now That We Don't Talk (Taylor's Version) (From The Vault),19
Taylor Swift – 1989 (Taylor's Version),Suburban Legends (Taylor's Version) (From The Vault),20
Taylor Swift – 1989 (Taylor's Version),Is It Over Now? (Taylor's Version) (From The Vault),21
Taylor Swift – Lover (Live From Paris),Me! (Live From Paris),1
Taylor Swift – Lover (Live From Paris),The Archer (Live From Paris),2
Taylor Swift – Lover (Live From Paris),Death By A Thousand Cuts (Live From Paris),3
Taylor Swift – Lover (Live From Paris),Cornelia Street (Live From Paris),4
Taylor Swift – Lover (Live From Paris),The Man (Live From Paris),5
Taylor Swift – Lover (Live From Paris),Daylight (Live From Paris),6
Taylor Swift – Lover (Live From Paris),You Need To Calm Down (Live From Paris),7
Taylor Swift – Lover (Live From Paris),Lover (Live From Paris),8
Taylor Swift – The Tortured Poets Department,Fortnight,1
Taylor Swift – The Tortured Poets Department,The Tortured Poets Department,2
Taylor Swift – The Tortured Poets Department,My Boy Only Breaks His Favorite Toys,3
Taylor Swift – The Tortured Poets Department,Down Bad,4
Taylor Swift – The Tortured Poets Department,"So Long, London",5
Taylor Swift – The Tortured Poets Department,But Daddy I Love Him,6
Taylor Swift – The Tortured Poets Department,Fresh Out The Slammer,7
Taylor Swift – The Tortured Poets Department,Florida!!!,8
Taylor Swift – The Tortured Poets Department,Guilty As Sin?,9
Taylor Swift – The Tortured Poets Department,Who's Afraid Of Little Old Me?,10
Taylor Swift – The Tortured Poets Department,I Can Fix Him (No Really I Can),11
Taylor Swift – The Tortured Poets Department,Loml,12
Taylor Swift – The Tortured Poets Department,I Can Do It With A Broken Heart,13
Taylor Swift – The Tortured Poets Department,The Smallest Man Who Ever Lived,14
Taylor Swift – The Tortured Poets Department,The Alchemy,15
Taylor Swift – The Tortured Poets Department,Clara Bow,16
Taylor Swift – The Life Of A Showgirl,The Fate Of Ophelia,1
Taylor Swift – The Life Of A Showgirl,Elizabeth Taylor,2
Taylor Swift – The Life Of A Showgirl,Opalite,3
Taylor Swift – The Life Of A Showgirl,Father Figure,4
Taylor Swift – The Life Of A Showgirl,Eldest Daughter,5
Taylor Swift – The Life Of A Showgirl,Ruin The Friendship,6
Taylor Swift – The Life Of A Showgirl,Actually Romantic,7
Taylor Swift – The Life Of A Showgirl,Wi$h Li$t,8
Taylor Swift – The Life Of A Showgirl,Wood,9
Taylor Swift – The Life Of A Showgirl,Cancelled!,10
Taylor Swift – The Life Of A Showgirl,Honey,11
Taylor Swift – The Life Of A Showgirl,The Life Of A Showgirl,12
